PRCSNAME,PRCSTYPE,OPRID,TSECONDS
NVSRUN,nVision-Report,l.bratton,21.494829
NVSRUN,nVision-Report,l.bratton,13.928885
DRILLDWN,nVision-Report,l.bratton,13.980246
DRILLDWN,nVision-Report,l.bratton,14.016078
NVSRUN,nVision-Report,l.bratton,23.284924
PV_AUTO_SRC,Application Engine,r.bell,44.880116
PV_AUTO_SRC,Application Engine,r.bell,46.168004
DRILLDWN,nVision-Report,l.bratton,13.891379
POPO005,SQR Report,r.bell,10.95312
POPO005,SQR Report,r.bell,13.325439
POPO005,SQR Process,r.bell,13.774531
PO_PO_EMAIL,Application Engine,r.bell,14.998229
POPO005,SQR Process,r.bell,13.289024
PO_PO_EMAIL,Application Engine,r.bell,15.318428
DRILLDWN,nVision-Report,d.black,11.809106
DRILLDWN,nVision-Report,d.black,10.739978
NVSRUN,nVision-Report,m.elbeck,22.851269
NVSRUN,nVision-Report,m.elbeck,13.982606
VFSA0001,Application Engine,PSFINBATCH,15.045559
DRILLDWN,nVision-Report,l.bratton,13.909922
NVSRUN,nVision-Report,m.elbeck,8.293464
DRILLDWN,nVision-Report,l.bratton,14.032289
DRILLDWN,nVision-Report,l.bratton,13.851836
DRILLDWN,nVision-Report,d.black,13.874688
DRILLDWN,nVision-Report,l.bratton,13.947218
V_AP0100,SQR Report,b.stephens,12.894881
V_SFTP_TANGO,Application Engine,b.stephens,14.548618
DRILLDWN,nVision-Report,l.bratton,11.889407
PO_RECVPUSH,Application Engine,a.amaro,14.966515
PORQ010,SQR Report,r.bell,11.566588
PORQ010,SQR Report,r.bell,13.946886
NVSRUN,nVision-Report,s.teichman,83.26831
GL_JEDIT_0,Application Engine,c.caezza,14.993277
GL_JP,Application Engine,c.caezza,15.016746
NVSRUN,nVision-Report,s.teichman,23.648742
VFSA0001,Application Engine,PSFINBATCH,15.011418
DRILLDWN,nVision-Report,m.sutton,11.5493
VFSA0001,Application Engine,PSFINBATCH,15.044085
PRCSYSPURGE,Application Engine,PSFINSERV,45.392728
PSXP_DIRCLN,Application Engine,PSFINSERV,15.048287
PRCSSRVCLN,Application Engine,PSFINSERV,15.155316
PSXP_DIRCLN,Application Engine,PSFINSERV,15.111446
PSXPARCHATTR,Application Engine,PSFINSERV,14.900194
VGLA0001,Application Engine,NVBATCH,75.010283
RPTBOOK,nVision-ReportBook,NVBATCH,281.650833
RPTBOOK,nVision-ReportBook,NVBATCH,915.866326
RPTBOOK,nVision-ReportBook,NVBATCH,704.808182
RPTBOOK,nVision-ReportBook,NVBATCH,420.31761
RPTBOOK,nVision-ReportBook,NVBATCH,330.148085
RPTBOOK,nVision-ReportBook,NVBATCH,14.199999
RPTBOOK,nVision-ReportBook,NVBATCH,164.787711
RPTBOOK,nVision-ReportBook,NVBATCH,164.350228
APY1090-,Crystal,PSFINBATCH,33.325838
APY1090-,Crystal,PSFINBATCH,10.109651
APY1090-,Crystal,PSFINBATCH,12.455246
APY1090-,Crystal,PSFINBATCH,12.364189
APY1090-,Crystal,PSFINBATCH,12.305979
VAPA0004,Application Engine,PSFINBATCH,13.111263
V_PV_APR,SQR Report,PSFINBATCH,19.156525
VAPA0003,Application Engine,PSFINBATCH,30.0365
AP_VCHRBLD,Application Engine,PSFINBATCH,45.116072
VAPS0003,SQR Report,PSFINBATCH,15.049128
VAPA0005,Application Engine,PSFINBATCH,15.022166
VFSA0001,Application Engine,PSFINBATCH,15.06021
VFSA0001,Application Engine,PSFINBATCH,14.991508
PV_AUTO_SRC,Application Engine,r.bell,45.023857
PORQ010,SQR Report,t.nowlin,12.622264
POPO005,SQR Report,r.bell,6.790034
NVSRUN,nVision-Report,m.elbeck,22.110767
POPO005,SQR Process,r.bell,13.291523
PO_PO_EMAIL,Application Engine,r.bell,14.268173
NVSRUN,nVision-Report,d.robinson,24.261764
DRILLDWN,nVision-Report,d.robinson,26.225332
DRILLDWN,nVision-Report,a.davis,13.882326
PSQUERY,Application Engine,d.robinson,136.661464
VFSA0001,Application Engine,PSFINBATCH,15.026508
DRILLDWN,nVision-Report,k.baker,13.897963
NVSRUN,nVision-Report,m.elbeck,20.192179
PORQ010,SQR Report,r.bell,12.10861
DRILLDWN,nVision-Report,k.baker,12.029901
GL_JEDIT_0,Application Engine,m.elbeck,14.764924
NVSRUN,nVision-Report,m.elbeck,7.780457
DRILLDWN,nVision-Report,b.grotegut,28.869662
PV_AUTO_SRC,Application Engine,t.nowlin,45.036961
POPO005,SQR Report,t.nowlin,8.581071
POPO005,SQR Process,t.nowlin,11.739961
PO_PO_EMAIL,Application Engine,t.nowlin,14.959417
VGLA0003,Application Engine,NTTA_AM,14.97552
GL_JEDIT_0,Application Engine,m.elbeck,15.015373
GL_JP,Application Engine,m.elbeck,15.03981
GL_JEDIT_0,Application Engine,m.elbeck,15.017193
GLX7501,XML Publisher,m.elbeck,15.024679
NVSRUN,nVision-Report,m.elbeck,23.967535
FS_STREAMLN,Application Engine,tr.johnson,30.045966
FS_STREAMLN,Application Engine,tr.johnson,15.009261
VFSA0001,Application Engine,PSFINBATCH,14.96885
VPTA0001,Application Engine,PSFINBATCH,15.061851
VPOA0002,Application Engine,PSFINBATCH,15.01013
PORQ010,SQR Report,r.bell,12.695925
GL_JEDIT_0,Application Engine,m.elbeck,14.993922
GLX7501,XML Publisher,m.elbeck,15.031494
NVSRUN,nVision-Report,m.elbeck,21.341919
DRILLDWN,nVision-Report,m.sutton,26.261611
PV_AUTO_SRC,Application Engine,t.nowlin,45.075242
PV_AUTO_SRC,Application Engine,r.bell,45.055985
PV_AUTO_SRC,Application Engine,r.bell,45.057845
POPO005,SQR Report,r.bell,12.16444
